Start of light recording
time = 0, reading = 81
time = 1, reading = 83
time = 2, reading = 87
time = 3, reading = 79
time = 4, reading = 79
time = 5, reading = 78
time = 6, reading = 78
time = 7, reading = 53
time = 8, reading = 20
time = 10, reading = 16
time = 11, reading = 69
time = 12, reading = 78
time = 13, reading = 63
time = 14, reading = 52
time = 15, reading = 68
time = 16, reading = 82
time = 17, reading = 83
time = 18, reading = 77
time = 19, reading = 69
time = 20, reading = 68
time = 21, reading = 79
time = 22, reading = 81
time = 23, reading = 81
time = 24, reading = 123
time = 25, reading = 108
time = 26, reading = 115
time = 27, reading = 80
time = 28, reading = 81
time = 29, reading = 75
time = 30, reading = 81
time = 31, reading = 81
time = 33, reading = 87
time = 34, reading = 86
time = 35, reading = 67
time = 36, reading = 78
